Attention,Meditation,Raw_value,curr_time,curr_date
44,63,-1179,18:32:56,2017-05-10
44,63,-1847,18:32:57,2017-05-10
44,63,-907,18:32:59,2017-05-10
44,63,197,18:33:00,2017-05-10
44,63,274,18:33:01,2017-05-10
44,63,-563,18:33:02,2017-05-10
44,63,139,18:33:03,2017-05-10
35,67,122,18:33:04,2017-05-10
53,70,-459,18:33:05,2017-05-10
53,70,12,18:33:06,2017-05-10
64,53,653,18:33:07,2017-05-10
64,53,214,18:33:08,2017-05-10
93,51,-205,18:33:09,2017-05-10
91,51,-346,18:33:10,2017-05-10
91,51,-238,18:33:11,2017-05-10
70,41,621,18:33:12,2017-05-10
63,34,58,18:33:13,2017-05-10
61,30,409,18:33:14,2017-05-10
75,30,-179,18:33:15,2017-05-10
80,44,-466,18:33:16,2017-05-10
84,57,-257,18:33:17,2017-05-10
80,63,372,18:33:18,2017-05-10
77,69,-102,18:33:19,2017-05-10
75,63,-282,18:33:20,2017-05-10
69,70,-24,18:33:21,2017-05-10
60,63,265,18:33:22,2017-05-10
51,54,412,18:33:23,2017-05-10
60,43,124,18:33:24,2017-05-10
88,51,294,18:33:25,2017-05-10
90,44,11,18:33:26,2017-05-10
